molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure,Molecule,MACCS,Morgan,Tanimoto_MACCS,Tanimoto_Morgan,Dice_MACCS,Dice_Morgan
CHEMBL4072383,IC50,nM,47.1,IC50,nM,47.1,COc1ccc2c(c1)CCCN2c1nc(N)nc2c(Cc3ccccc3)c[nH]c12,7.326979092871103,<rdkit.Chem.rdchem.Mol object at 0x000001D689CAB270>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A70B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8970>,0.6376811594202898,0.13131313131313133,0.7787610619469026,0.23214285714285715
CHEMBL4063301,IC50,nM,6.13,IC50,nM,6.13,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCCCC1,8.212539525481585,<rdkit.Chem.rdchem.Mol object at 0x000001D689CAB660>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B7B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F89E0>,0.4411764705882353,0.10416666666666667,0.6122448979591837,0.18867924528301888
CHEMBL3542268,IC50,nM,5.06,IC50,nM,5.06,OCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,8.2958494831602,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4120>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8A50>,0.5857142857142857,0.12380952380952381,0.7387387387387387,0.22033898305084745
CHEMBL4060383,IC50,nM,20000.0,IC50,uM,20.0,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccc4ccccc4c3)c12,4.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4200>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8AC0>,0.2916666666666667,0.06593406593406594,0.45161290322580644,0.12371134020618557
CHEMBL4088617,IC50,nM,167300.0,IC50,uM,167.3,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3cccc4ccccc34)c12,3.7765040590376056,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4270>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8B30>,0.2916666666666667,0.05555555555555555,0.45161290322580644,0.10526315789473684
CHEMBL4069070,IC50,nM,4300.0,IC50,uM,4.3,COc1ccc(OC)c(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)c1,5.366531544420414,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA42E0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A72E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8BA0>,0.4520547945205479,0.09574468085106383,0.6226415094339622,0.17475728155339806
CHEMBL4096329,IC50,nM,20800.0,IC50,uM,20.8,COc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,4.681936665037238,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4350>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665B9E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8C10>,0.4166666666666667,0.1,0.5882352941176471,0.18181818181818182
CHEMBL4079829,IC50,nM,8300.0,IC50,uM,8.3,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccc(Cl)cc3)c12,5.080921907623926,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA43C0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BA50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A73C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8C80>,0.3472222222222222,0.07865168539325842,0.5154639175257731,0.14583333333333334
CHEMBL4087709,IC50,nM,200.0,IC50,uM,0.2,COc1cc2cnnc(Nc3ccc(Cl)cc3F)c2cc1OC,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4430>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BAC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8CF0>,0.5757575757575758,0.1411764705882353,0.7307692307692307,0.24742268041237114
CHEMBL4097369,IC50,nM,8.4,IC50,nM,8.4,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1ccco1,8.075720713938118,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA4C80>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BB30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A74A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8D60>,0.4142857142857143,0.08163265306122448,0.5858585858585859,0.1509433962264151
CHEMBL4103464,IC50,nM,8.9,IC50,nM,8.9,O=C(NCc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8660>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BBA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8DD0>,0.39436619718309857,0.08080808080808081,0.5656565656565656,0.14953271028037382
CHEMBL4089588,IC50,nM,19.3,IC50,nM,19.3,O=C(Nc1ccc(Cl)cc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.714442690992226,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA86D0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BC10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8E40>,0.37681159420289856,0.08421052631578947,0.5473684210526316,0.1553398058252427
CHEMBL4071058,IC50,nM,3.2,IC50,uM,0.0032,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA89E0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BC80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A75F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8EB0>,0.4810126582278481,0.08737864077669903,0.6495726495726496,0.16071428571428573
CHEMBL4091010,IC50,nM,145.0,IC50,uM,0.145,CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.838631997765025,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8A50>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BCF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8F20>,0.47435897435897434,0.08256880733944955,0.6434782608695652,0.15254237288135594
CHEMBL4061283,IC50,nM,55.5,IC50,uM,0.0555,CC[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.255707016877324,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8AC0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BD60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A76D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F8F90>,0.45569620253164556,0.08181818181818182,0.6260869565217392,0.15126050420168066
CHEMBL4098587,IC50,nM,17.0,IC50,uM,0.017,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8BA0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BDD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9040>,0.5,0.10784313725490197,0.6666666666666666,0.19469026548672566
CHEMBL4087241,IC50,nM,140.0,IC50,uM,0.14,CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8C10>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BE40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A77B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F90B0>,0.4936708860759494,0.10185185185185185,0.6610169491525424,0.18487394957983194
CHEMBL4092491,IC50,nM,1021.0,IC50,uM,1.021,CC(C)[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,5.99097425791309,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8C80>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BEB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9120>,0.4342105263157895,0.08333333333333333,0.6055045871559633,0.15384615384615385
CHEMBL4102577,IC50,nM,6.8,IC50,nM,6.8,CCC(=O)Nc1cccc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,8.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8CF0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BF20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9190>,0.3875,0.08490566037735849,0.5585585585585585,0.1565217391304348
CHEMBL4101193,IC50,nM,360.0,IC50,nM,360.0,CCC(=O)Nc1ccc(OC)c(Nc2cc(-c3cnc(SC)[nH]3)ccn2)c1,6.443697499232712,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA8EB0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665BF90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9200>,0.45,0.1188118811881188,0.6206896551724138,0.21238938053097345
CHEMBL321494,IC50,nM,130.0,IC50,nM,130.0,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA10B0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9270>,0.3611111111111111,0.07291666666666667,0.5306122448979592,0.13592233009708737
CHEMBL4064942,IC50,nM,81.0,IC50,nM,81.0,CN(C)C(=O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,7.091514981121351,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1120>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C0B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A79E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F92E0>,0.45569620253164556,0.09615384615384616,0.6260869565217392,0.17543859649122806
CHEMBL4091569,IC50,nM,83.0,IC50,nM,83.0,OCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,7.080921907623926,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1190>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7A50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9350>,0.41025641025641024,0.06930693069306931,0.5818181818181818,0.12962962962962962
CHEMBL4067255,IC50,nM,1246.0,IC50,nM,1246.0,Fc1ccc(-c2nc(SCCN3CCOCC3)[nH]c2-c2ccnc(Nc3ccccc3)c2)cc1,5.9044819576768495,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1200>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7AC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F93C0>,0.5526315789473685,0.10476190476190476,0.711864406779661,0.1896551724137931
CHEMBL4081860,IC50,nM,29.0,IC50,nM,29.0,NCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,7.5376020021010435,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1270>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7B30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9430>,0.4025974025974026,0.0707070707070707,0.5740740740740741,0.1320754716981132
CHEMBL4094927,IC50,nM,5.0,IC50,nM,5.0,CCC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1A50>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7BA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F94A0>,0.48148148148148145,0.1,0.65,0.18181818181818182
