molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1929554,IC50,nM,112100.0,IC50,uM,112.1,Nc1nc(Nc2ccc(Cl)cc2F)c2cc(Cc3cccc4ccccc34)[nH]c2n1,3.950394387405027
CHEMBL1929555,IC50,nM,12620.0,IC50,uM,12.62,Nc1nc(Nc2ccc(Cl)cc2)c2cc(Cc3cccc4ccccc34)[nH]c2n1,4.898940645091884
CHEMBL1929556,IC50,nM,112700.0,IC50,uM,112.7,COc1ccc(OC)c(Cc2cc3c(Nc4ccc(Cl)cc4F)nc(N)nc3[nH]2)c1,3.9480760839538935
CHEMBL1928707,IC50,nM,3220.0,IC50,uM,3.22,Oc1ccccc1CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.492144128304169
CHEMBL1928708,IC50,nM,870.0,IC50,uM,0.87,Oc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,6.060480747381382
CHEMBL1928709,IC50,nM,11220.0,IC50,uM,11.22,COc1ccccc1CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.950007143079858
CHEMBL1928711,IC50,nM,1640.0,IC50,uM,1.64,Clc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.785156151952302
CHEMBL1928712,IC50,nM,3130.0,IC50,uM,3.13,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.504455662453552
CHEMBL1928716,IC50,nM,3540.0,IC50,uM,3.54,Oc1ccccc1CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,5.450996737974212
CHEMBL1928886,IC50,nM,1870.0,IC50,uM,1.87,Oc1ccc(CNc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)cc1,5.728158393463501
CHEMBL1928887,IC50,nM,13880.0,IC50,uM,13.88,COc1ccccc1CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,4.8576105338811635
