molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL5184941,IC50,nM,16.0,IC50,nM,16.0,CC(C)c1nnc(N2CC[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,7.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x000001D69564EE40>,False,False
CHEMBL5182741,IC50,nM,2.2,IC50,nM,2.2,CC(C)c1ncc(N2CC[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,8.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x000001D69564EEB0>,False,False
CHEMBL5203267,IC50,nM,3.6,IC50,nM,3.6,CC(C)c1cnc(N2CC(O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,8.443697499232712,<rdkit.Chem.rdchem.Mol object at 0x000001D69564EF20>,False,False
CHEMBL5207390,IC50,nM,0.3,IC50,nM,0.3,CC(C)c1cnc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x000001D69564EF90>,False,False
CHEMBL5172587,IC50,nM,1.8,IC50,nM,1.8,CC(C)c1ncc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,8.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F040>,False,False
CHEMBL5185207,IC50,nM,0.5,IC50,nM,0.5,CC(C)c1ccc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F0B0>,False,False
CHEMBL5205583,IC50,nM,3.4,IC50,nM,3.4,COC1CN(c2ncc(C(C)C)c3cc(Nc4ccnc(N5CC[C@@H](O)[C@@](C)(F)C5)n4)ncc23)C1,8.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F120>,False,False
CHEMBL5198992,IC50,nM,11.0,IC50,nM,11.0,COCC1CN(c2ncc(C(C)C)c3cc(Nc4ccnc(N5CC[C@@H](O)[C@@](C)(F)C5)n4)ncc23)C1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F190>,False,False
CHEMBL5187021,IC50,nM,1.0,IC50,nM,1.0,CNC(=O)C1CN(c2ncc(C(C)C)c3cc(Nc4ccnc(N5CC[C@@H](O)[C@@](C)(F)C5)n4)ncc23)C1,9.0,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F200>,False,False
CHEMBL5170376,IC50,nM,0.9,IC50,nM,0.9,CC(C)c1cnc(N2CC(C(=O)N(C)C)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.045757490560677,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F270>,False,False
